X,Y,Z
2633865.0,1142925.0,1903.91
2633895.0,1142925.0,1914.05
2633925.0,1142925.0,1920.15
2633955.0,1142925.0,1921.68
2633985.0,1142925.0,1925.28
2634015.0,1142925.0,1927.75
2634045.0,1142925.0,1951.11
2634075.0,1142925.0,1959.8
2634105.0,1142925.0,1965.54
2634135.0,1142925.0,1970.04
2634165.0,1142925.0,1976.06
2634195.0,1142925.0,1992.73
2632755.0,1142895.0,1831.73
2632785.0,1142895.0,1833.06
2632815.0,1142895.0,1817.85
2632845.0,1142895.0,1804.97
2632875.0,1142895.0,1799.85
2632905.0,1142895.0,1795.59
2632935.0,1142895.0,1794.95
2632965.0,1142895.0,1794.8
2632995.0,1142895.0,1795.44
2633025.0,1142895.0,1800.06
2633055.0,1142895.0,1781.32
2633085.0,1142895.0,1795.4
2633115.0,1142895.0,1805.95
2633145.0,1142895.0,1812.86
2633175.0,1142895.0,1818.68
2633205.0,1142895.0,1825.05
2633235.0,1142895.0,1831.06
2633265.0,1142895.0,1835.88
2633295.0,1142895.0,1840.74
2633325.0,1142895.0,1846.65
2633355.0,1142895.0,1848.36
2633385.0,1142895.0,1850.93
2633415.0,1142895.0,1852.05
2633445.0,1142895.0,1854.16
2633475.0,1142895.0,1855.51
2633505.0,1142895.0,1853.46
2633535.0,1142895.0,1857.68
2633565.0,1142895.0,1862.23
2633595.0,1142895.0,1868.15
2633625.0,1142895.0,1868.97
2633655.0,1142895.0,1872.21
2633685.0,1142895.0,1881.32
2633715.0,1142895.0,1885.42
2633745.0,1142895.0,1893.97
2633775.0,1142895.0,1899.16
2633805.0,1142895.0,1908.6
2633835.0,1142895.0,1916.95
2633865.0,1142895.0,1917.32
2633895.0,1142895.0,1923.57
2633925.0,1142895.0,1933.5
2633955.0,1142895.0,1939.81
2633985.0,1142895.0,1947.72
2634015.0,1142895.0,1957.04
2634045.0,1142895.0,1972.84
2634075.0,1142895.0,1981.73
2634105.0,1142895.0,1986.96
2634135.0,1142895.0,1993.96
2634165.0,1142895.0,2003.09
2634195.0,1142895.0,2011.8
2634225.0,1142895.0,2025.93
2632725.0,1142865.0,1823.12
2632755.0,1142865.0,1817.96
2632785.0,1142865.0,1811.49
2632815.0,1142865.0,1795.53
2632845.0,1142865.0,1790.91
2632875.0,1142865.0,1793.27
2632905.0,1142865.0,1795.5
2632935.0,1142865.0,1791.67
2632965.0,1142865.0,1788.45
2632995.0,1142865.0,1793.44
2633025.0,1142865.0,1777.76
2633055.0,1142865.0,1788.17
2633085.0,1142865.0,1805.65
2633115.0,1142865.0,1810.76
2633145.0,1142865.0,1814.3
2633175.0,1142865.0,1822.71
2633205.0,1142865.0,1826.36
2633235.0,1142865.0,1836.03
2633265.0,1142865.0,1840.94
2633295.0,1142865.0,1847.53
2633325.0,1142865.0,1850.91
2633355.0,1142865.0,1854.17
2633385.0,1142865.0,1859.8
2633415.0,1142865.0,1860.32
2633445.0,1142865.0,1861.9
2633475.0,1142865.0,1863.49
2633505.0,1142865.0,1867.97
2633535.0,1142865.0,1874.54
2633565.0,1142865.0,1879.27
2633595.0,1142865.0,1884.6
2633625.0,1142865.0,1891.2
2633655.0,1142865.0,1891.01
2633685.0,1142865.0,1897.25
2633715.0,1142865.0,1902.48
2633745.0,1142865.0,1910.78
2633775.0,1142865.0,1912.27
2633805.0,1142865.0,1920.3
2633835.0,1142865.0,1931.4
2633865.0,1142865.0,1938.25
2633895.0,1142865.0,1948.05
2633925.0,1142865.0,1944.24
2633955.0,1142865.0,1953.69
2633985.0,1142865.0,1968.23
2634015.0,1142865.0,1978.44
2634045.0,1142865.0,1984.77
2634075.0,1142865.0,2002.19
2634105.0,1142865.0,2010.14
2634135.0,1142865.0,2012.09
2634165.0,1142865.0,2022.0
2634195.0,1142865.0,2031.53
2634225.0,1142865.0,2040.39
2634255.0,1142865.0,2040.1
2632665.0,1142835.0,1801.74
2632695.0,1142835.0,1811.81
2632725.0,1142835.0,1812.5
2632755.0,1142835.0,1798.61
2632785.0,1142835.0,1783.43
2632815.0,1142835.0,1778.32
2632845.0,1142835.0,1780.02
2632875.0,1142835.0,1786.96
2632905.0,1142835.0,1781.77
2632935.0,1142835.0,1785.92
2632965.0,1142835.0,1784.92
2632995.0,1142835.0,1776.06
2633025.0,1142835.0,1796.16
2633055.0,1142835.0,1807.91
2633085.0,1142835.0,1807.95
2633115.0,1142835.0,1811.82
2633145.0,1142835.0,1816.25
2633175.0,1142835.0,1823.85
2633205.0,1142835.0,1831.32
2633235.0,1142835.0,1837.85
2633265.0,1142835.0,1846.8
2633295.0,1142835.0,1854.53
2633325.0,1142835.0,1859.19
2633355.0,1142835.0,1863.21
2633385.0,1142835.0,1866.88
2633415.0,1142835.0,1870.59
2633445.0,1142835.0,1871.72
2633475.0,1142835.0,1875.57
2633505.0,1142835.0,1881.82
2633535.0,1142835.0,1886.69
2633565.0,1142835.0,1890.92
2633595.0,1142835.0,1895.2
2633625.0,1142835.0,1899.2
2633655.0,1142835.0,1901.96
2633685.0,1142835.0,1906.78
2633715.0,1142835.0,1914.59
2633745.0,1142835.0,1924.4
2633775.0,1142835.0,1931.9
2633805.0,1142835.0,1935.69
2633835.0,1142835.0,1944.56
2633865.0,1142835.0,1950.52
2633895.0,1142835.0,1969.32
2633925.0,1142835.0,1967.78
2633955.0,1142835.0,1973.48
2633985.0,1142835.0,1983.59
2634015.0,1142835.0,1994.94
2634045.0,1142835.0,1998.98
2634075.0,1142835.0,2022.97
2634105.0,1142835.0,2032.46
2634135.0,1142835.0,2039.68
2634165.0,1142835.0,2043.6
2634195.0,1142835.0,2044.39
2634225.0,1142835.0,2056.28
2634255.0,1142835.0,2065.64
2632605.0,1142805.0,1790.4
2632635.0,1142805.0,1801.54
2632665.0,1142805.0,1806.97
2632695.0,1142805.0,1797.79
2632725.0,1142805.0,1783.31
2632755.0,1142805.0,1777.24
2632785.0,1142805.0,1777.06
2632815.0,1142805.0,1782.33
2632845.0,1142805.0,1775.73
2632875.0,1142805.0,1774.23
2632905.0,1142805.0,1773.17
2632935.0,1142805.0,1774.1
2632965.0,1142805.0,1787.8
2632995.0,1142805.0,1800.34
2633025.0,1142805.0,1801.24
2633055.0,1142805.0,1801.74
2633085.0,1142805.0,1806.71
2633115.0,1142805.0,1811.52
2633145.0,1142805.0,1818.78
2633175.0,1142805.0,1824.69
2633205.0,1142805.0,1833.11
2633235.0,1142805.0,1841.73
2633265.0,1142805.0,1851.8
2633295.0,1142805.0,1860.95
2633325.0,1142805.0,1867.13
2633355.0,1142805.0,1872.42
2633385.0,1142805.0,1876.43
2633415.0,1142805.0,1882.59
2633445.0,1142805.0,1883.15
2633475.0,1142805.0,1884.65
2633505.0,1142805.0,1887.97
2633535.0,1142805.0,1893.68
2633565.0,1142805.0,1899.69
2633595.0,1142805.0,1909.12
2633625.0,1142805.0,1912.83
2633655.0,1142805.0,1920.09
2633685.0,1142805.0,1926.25
2633715.0,1142805.0,1935.61
2633745.0,1142805.0,1946.16
2633775.0,1142805.0,1950.74
2633805.0,1142805.0,1965.55
2633835.0,1142805.0,1964.31
2633865.0,1142805.0,1972.27
2633895.0,1142805.0,1984.17
2633925.0,1142805.0,1987.17
2633955.0,1142805.0,1990.76
2633985.0,1142805.0,1992.16
2634015.0,1142805.0,2013.21
2634045.0,1142805.0,2008.95
2634075.0,1142805.0,2031.6
2634105.0,1142805.0,2045.59
2634135.0,1142805.0,2051.48
2634165.0,1142805.0,2054.12
2634195.0,1142805.0,2061.74
2634225.0,1142805.0,2069.49
2634255.0,1142805.0,2078.65
2634285.0,1142805.0,2085.91
2632575.0,1142775.0,1782.6
2632605.0,1142775.0,1793.72
2632635.0,1142775.0,1794.83
2632665.0,1142775.0,1789.08
2632695.0,1142775.0,1780.3
2632725.0,1142775.0,1775.95
2632755.0,1142775.0,1776.69
2632785.0,1142775.0,1775.33
2632815.0,1142775.0,1773.56
2632845.0,1142775.0,1771.64
2632875.0,1142775.0,1776.56
2632905.0,1142775.0,1784.75
2632935.0,1142775.0,1788.73
2632965.0,1142775.0,1791.59
2632995.0,1142775.0,1791.82
2633025.0,1142775.0,1796.14
2633055.0,1142775.0,1800.3
2633085.0,1142775.0,1807.19
2633115.0,1142775.0,1814.2
2633145.0,1142775.0,1820.56
2633175.0,1142775.0,1827.3
2633205.0,1142775.0,1837.31
2633235.0,1142775.0,1846.46
2633265.0,1142775.0,1857.08
2633295.0,1142775.0,1867.23
2633325.0,1142775.0,1875.88
2633355.0,1142775.0,1883.39
2633385.0,1142775.0,1886.91
2633415.0,1142775.0,1891.8
2633445.0,1142775.0,1894.87
2633475.0,1142775.0,1897.61
2633505.0,1142775.0,1900.07
2633535.0,1142775.0,1905.67
2633565.0,1142775.0,1913.25
2633595.0,1142775.0,1920.54
2633625.0,1142775.0,1927.23
2633655.0,1142775.0,1937.72
2633685.0,1142775.0,1945.8
2633715.0,1142775.0,1957.05
2633745.0,1142775.0,1967.3
2633775.0,1142775.0,1972.32
2633805.0,1142775.0,1985.43
2633835.0,1142775.0,1978.38
2633865.0,1142775.0,1989.1
2633895.0,1142775.0,2004.1
2633925.0,1142775.0,2013.29
2633955.0,1142775.0,2014.68
2633985.0,1142775.0,2011.35
2634015.0,1142775.0,2020.93
2634045.0,1142775.0,2031.9
2634075.0,1142775.0,2038.66
2634105.0,1142775.0,2054.76
2634135.0,1142775.0,2064.12
2634165.0,1142775.0,2068.25
2634195.0,1142775.0,2072.71
2634225.0,1142775.0,2080.79
2634255.0,1142775.0,2087.82
2634285.0,1142775.0,2096.48
2632515.0,1142745.0,1770.0
2632545.0,1142745.0,1769.69
2632575.0,1142745.0,1782.13
2632605.0,1142745.0,1783.79
2632635.0,1142745.0,1776.77
2632665.0,1142745.0,1780.22
2632695.0,1142745.0,1773.95
2632725.0,1142745.0,1772.34
2632755.0,1142745.0,1771.19
2632785.0,1142745.0,1771.33
2632815.0,1142745.0,1771.46
